Sentences,Tags
"These pipes represent the server side for child instances , and also the point to connect to for hooks Babar installs to spy on several system APIs .",O O O O O O O O O O O O O O O O O O O B-malware.drop O O O O O O O O
Meaning,O
"If the network input does not arrive , the queries each of the command handlers for any packets they may have queued ( by calling each command handler 's ReadWaitingData function ) and transmits the packets the handlers have generated .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Doherty , and E .",O O O O O
Below screen shot shows the response given to the malware .,O O O O O O O O O O O
facebook,O
"However , by all appearances , the attackers noticed the unwanted addition to their malware and got rid of the infection .",O O O O O O O O O O O O O O O O O O O O O O
How is this different from any other targeted attack ?,O O O O O O O O O O
getNameList,O
"They are sometimes portrayed as wild and reckless , but as seen under our visibility , the group can be pragmatic , measured , and agile .",O O O O O O O O O O O O O O O O O O O O O O O O O O O
"In the case of this post , it appears that at least two different attackers were involved in compromising and placing malicious code on Pro-Democratic websites in Hong Kong .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1be9c68b31247357328596a388010c9cfffadcb6e9841fb22de8b0dc2d161c42,B-hash
Figure 13 Content of the data package,O O O O O O O
"Among the most-downloaded malicious fi les , we found variants of Gh0st RAT used in Iron Tiger APT operation .",O O O O O O O O O O O B-malware.backdoor I-malware.backdoor O O O O O O O
Figure 24 .,O O O
"We decided to have an even closer look at Agent.BTZ and ComRAT and therefore analyzed the evolution of this RAT , covering seven years of development .",O O O O O O O O O B-malware.backdoor O B-malware.backdoor O O O O O O O B-malware.backdoor O O O O O O O
Internal Filename : libcef.dll,O O O O
": +966 13 341 9915 , Ext .",O O O O O O O O
"The COZY BEAR intrusion relied primarily on the SeaDaddy implant developed in Python and compiled with py2exe and another Powershell backdoor with persistence accomplished via Windows Management Instrumentation ( WMI ) system , which allowed the adversary to launch malicious code automatically after a specified period of system uptime or on a specific schedule .",O O O O O O O O B-malware.backdoor O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Siilarly , the IP address ( 68.96.31.136 ) was another C2 node reported by Dell SecureWorks as hosting the HTran proxy infrastructure .",O O O O O O B-ip.unknown O O O O O O O O O O O O O O O O
"Some of these are probably also related to this case , but as we have no evidence linking the cases , these malwares have not been included in this paper .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
The amount of Convertible Currency is then manipulated in the message by changing it to the arbitrary value (,O O O O O O O O O O O O O O O O O O O
Operator Routed to Country,O O O O
Win32/TrojanDropper .,O O
"Later v4 SPLM injected individual keylogger , filestealer , and remoteshell modules into memory space .",O O B-malware.backdoor O O O O O O O O O O O O O
Compiled Time Stamp : 2018-01-29 09:36:41 ( Jan .,O O O O O O O O O
"The malware enumerates all processes , and if a process has the module liboradb.dll loaded in it , it will patch 2 bytes in its memory at a specific offset .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"According to Insikt Group 's source , during the 2009 Green Revolution , Gerdab.ir emerged as the IRGC 's domestic hacking group tasked with targeting opposition news websites and individuals considered immoral by the regime .",O O O O O O O O O O O O O B-url.unknown O O O O O O O O O O O O O O O O O O O O O O
"The function ' ZwQuerySystemInformation ' is also hooked by the malware , a technique frequently used to allow process hiding :",O O O O O O O O O O O O O O O O O O O O O
"The command processing function starts by substituting the main module name and path in the hosting process PEB , with the one of the default internet browser .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O
( 2013 ) .,O O O O
"The following is a preliminary Python script that implements the protocol used by the malware and allows you to interact with it : 9. import sys 10. import socket 11. import select 14.def decode ( x ) : 15. return ' ' .join ( [ chr ( ( ord ( i ) *0xd9 ) & 0xff ) for i in x ] ) 18.def encode ( x ) : 19. return ' ' .join ( [ chr ( ( ord ( i ) *0x93 ) & 0xff ) for i in x ] ) 22.def main ( ) : 23. s = socket.socket ( socket.AF_INET , socket.SOCK_STREAM ) 24 .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
This JavaScript file is called from other parts of the website and effectively nests the loading of additional JavaScript written and interpeted as :,O O O O O O O O O O O O O O O O O O O O O O O O
We describe them below .,O O O O O
"Attacks often play on curiosity or ideology to encourage users to enter passwords or click on enticing files , or exploit fears of hacking and surveillance with fake security tools .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
It instantiates several suspended browser processes and then replaces the loaded executable memory with the code contained in the embedded resource previously mentioned .,O O O O O O O O O O O O O O O O O O O O O O O O
This captured packet shows sample backdoor commands and replies :,O O O O O O B-malware.backdoor O O O
"During our analysis , we collected a copy of the RATANKBA malware 's Lazarus Remote Controller tool .",O O O O O O O O O O B-malware.backdoor O O O O O O O
Below screen shot shows the URL extracted from the C2 response .,O O O O O O O O O O O O
"The main module downloads the various data-stealing plugins assigned to each victim , and executes them .",O O O O O O O O O O O O O O O O O
"Although Trend Micro uses reasonable efforts to include accurate and up-to-date information herein , Trend Micro makes no warranties or representations of any kind as to its accuracy , currency , or completeness .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Menu,O
"The phishing emails try to trick the users into thinking the emails are legitimate by attaching the RAT with the some of the following names : Payment Invoice.jar , Payment details.jar , POR#94586.zip/POR#94586.jar , INV#94586.zip/INV#94586.jar , Invitation.jar , reports-pdf.jar , US$25k.jar , and DBC_BANK_IMG_23456_156.jar , and lremit_Transfer_Error_Page.jar .",O O O O O O O O O O O O O O O O O B-malware.infosteal O O O O O O O O B-malware.infosteal I-malware.infosteal O B-malware.infosteal I-malware.infosteal O B-malware.infosteal O B-malware.infosteal O B-malware.infosteal O B-malware.infosteal O B-malware.infosteal O O B-malware.infosteal O O B-malware.infosteal O
"00 01 00 00 00 ff ff ff ff 01 00 00 00 00 00 00 ................ 00 0c 02 00 00 00 45 53 68 61 64 6f 77 54 65 63 ...... EShadowTec 68 20 52 61 74 2c 20 56 65 72 73 69 6f 6e 3d 31 h Rat , Version=1 2e 30 2e 30 2e 30 2c 20 43 75 6c 74 75 72 65 3d .0.0.0 , Culture= 6e 65 75 74 72 61 6c 2c 20 50 75 62 6c 69 63 4b neutral , PublicK 65 79 54 6f 6b 65 6e 3d 6e 75 6c 6c 05 01 00 00 eyToken=null .... 00 13 53 68 61 64 6f 77 54 65 63 68 5f 52 61 74 ..ShadowTech_Rat 2e 44 61 74 61 03 00 00 00 04 64 61 74 61 05 69 .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-malware.infosteal O O O O O O O O O O O O O O O O O
This signals just how long ago the Poseidon threat actor was already working on its offensive framework .,O O O O O O O B-malware.infosteal O O O O O O O O O O
"The unpacked executable takes several command line arguments : : list service names , available for its own registration : open specified event : set specified event",O O O O O O O O O O O O O O O O O O O O O O O O O O O
16.03.2015 : The Andromeda/Gamarue botnet is on the rise again,O O O O B-malware.ransom O O O O O
All rights reserved .,O O O O
This C2 domain was associated with two IP addresses .,O O O O O O O O O O
"Motivation - Based on the nature of the attack , the proprietary information that the attackers were after and the high-profile personnel who were targeted , Cybereason concluded the main motivation behind the attack was cyber espionage .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
**patched include.preload.js injects two malicious scripts from the attacker 's Pastebin account .,O O O O O O O O O O O O O
Web .,O O
Figure 1 : RTF PCAP The XLSM attachments contained multiple worksheets with content that reflected the attachment name .,O O O O O O O O O O O O O O O O O O O
Detected as W2KM_DLOADR.UHAOEEN 240b7d2825183226af634d3801713b0e0f409eb3e1e48e1d36c96d2b03d8836b ENTERPRISE SMALL BUSINESS HOME,O O O O O O O O
Hacquebord Feike .,O O O
Table 1 lists the current detection and blocking capabilities by product .,O O O O O O O O O O O O
"In addition to the fact that the emails share no attributes , the malicious attachments are also unrelated .",O O O O O O O O O O O O O O O O O O O
Did the attackers use any interesting/advanced technologies ?,O O O O O O O O
"When our government clients come under threat , Arcanum Global 's embedded specialists and capabilities support them with a full suite of response options , including ( in consonance with applicable laws and regulations ) an array of countermeasures as well as both in-kind and asymmetric responses .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
The second is the full URL –,O O O O O O O
"PCC_FILE : :ProcessPacket member function , much like PCC_CMD : :ProcessPacket , is little more than a stub function that passes only a copy of the payload data ( pkt ) to",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"176.56.238.177 , belonging to AS198203 ASN-ROUTELABEL RouteLabel V.O.F. in the Netherlands .",B-ip.unknown O O O O O O O O O O O
"To learn more , read our Security 101 : Business Process Compromise .",O O O O O O O O O O O O O
"Most importantly , the attacker forgot to cover his trails , enabling us to learn his identity .",O O O O O O O O O O O O O O O O O O
"April 24 , 2018 | by Edson Sierra , Gerardo Iglesias",O O O O O O O O O O O
"The dll that connect to ' marina-info.net ' may be the last stage-malware that is triggered only when particular conditions occur , for example when the malware infects a system with an IP address belonging to specific ranges .",O B-malware.backdoor O O O O B-url.unknown O O O O O B-malware.backdoor O O O O O O O O O O O O O O O O O O O O O O O O O O
Actors with a nexus to Russia regularly monitor social media sites in order to better understand or formulate operations against their targets .,O O O O O O O O O O O O O O O O O O O O O O O
The capability to terminate a process .,O O O O O O O
Group a6135a6a6346a460792ce2da285778b1 ABRIL CmetaS3,O B-hash O O
We noticed that several security companies and enthusiasts had unwittingly reported on fragments of Poseidon 's campaigns over the years .,O O O O O O O O O O O O O O B-malware.infosteal O O O O O O
"Examination of the executable from that blog 's demo code shows that the WriteInputPoint function calls with byte indices 0x110 and 0x114 set pressure and temperature values , respectively : IRONGATE : WriteInputPoint ( 0x110 , 0 , 0x7763 ) WriteInputPoint ( 0x114 , 0 , 0x7763 ) Equivalent pseudo code from Biogas.exe : S7ProSim.WriteInputPoint ( 0x110 , 0 , ( short ) this.Pressure.Value ) S7ProSim.WriteInputPoint ( 0x114 , 0 , ( short ) this.Temperature.Value ) We have been unable to determine the significance of the hardcoded value 0x7763 , which is passed in both instances of the write function .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-malware.backdoor O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
REFERENCE,O
This has been an ongoing trend in malware development that we and others have observed several times in past .,O O O O O O O O O O O O O O O O O O O O
"Furthermore , the CLSID was stored in plain text within the sample .",O O O O O O O O O O O O O
The pop-up does make it appear as if the file is an update to Java .,O O O O O O O O O O O O O O O O
"As noted in the JPCERT report , Cylance also found that in most cases of successful infection , one of the earliest modules downloaded onto the system added an additional layer of AES communication to the traffic .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"With all of this information in mind , we assume with high confidence that the malware author works out of India .",O O O O O O O O O O O O O O O O O O O O O O
"The campaign attempted to discredit and demonize the main Iranian opposition party , the People 's Mojahedin Organization of Iran/Mojahedin-e Khalq ( PMOI/MEK ) .",O O O O O O O O O O O O O O O O O O O O O O O O O
We do suspect large portions of the product enumeration to be based on the exact same source code as the module Bunny used .,O O O O O O O O O O O O O O O O O O O O O B-malware.unknown O O
"If any of those names are found and the browser is one of the following , the Trojan will terminate that browser .",O O O O O O O O O O O O O O O O O O O O O O O
Getpass.exe 52a8557c8cdd5d925453383934cb10a85b117522b95c6d28ca097632ac8bc10d event.dll 6c3224dbf6bbabe058b0ab46233c9d35c970aa83e8c4bdffb85d78e31159d489 mail.exe 2f76c9242d5ad2b1f941fb47c94c80c1ce647df4d2d37ca2351864286b0bb3d8,O B-hash O B-hash O B-hash
Examination of the file names and the Safeengine executable protector suggest that the malware was made in China .,O O O O O O O O O O O O O O O O O O O
"It then adds 1000 to EBX , yielding 887 .",O O O O O O O O O O
"Given the estimated development timeframe and the promotional period for the benign 30.apk application , the program was likely available online for distribution after late April 2013 .",O O O O O O O O O O O O B-malware.backdoor O O O O O O O O O O O O O O O
"When the file is opened , it drops HIGHTIDE in the form of an executable file onto the infected system .",O O O O O O O O B-malware.backdoor O O O O O O O O O O O O
CVE-2018-8174 is a remote code execution vulnerability of Windows VBScript engine .,B-malware.unknown O O O O O O O O O O O
The BAT fi le is saved in the % TEMP % folder as ' win32shell.bat ' .,O O O O O O O O O O O O O O O O O
"Hypothesis 2 : Tranchulas developed and sold the malicious binaries to an unidentified customer , where they were later operationalized by an unidentified entity .",O O O O O O O O O O O O O O O O O O O O O O O O O
The following is a screenshot of the email :,O O O O O O O O O
"We have provided an updated version of those conclusions , a layout of the tactics that they generally employ , as well as observations of apparent tactical shifts .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"The attacker can reprogram the SIS logic to cause it to trip and shutdown a process that is , in actuality , in a safe state .",O O O O O O O O O O O O O O O O O O O O O O O O O O O
These facts significantly challenge the existing ' official ' history of Stuxnet .,O O O O O O O O O O O B-malware.backdoor O
test.php : < ? php @ eval ( $ _POST [ ' password ' ] ) ; ?,O O O O O O O O O O O O O O O O O O
Data : ( full path to the backdoor ) SYSTEM\CurrentControlSet\Services\ RaS ? ?,O O O O O O O O O O O O O
The thread KeyloggerThread is spawned and is responsible for doing keylogging on the target workstation .,O O O O O O O O O O O O O O O O
"This log contained information for the control server thlsystems.for , which showed an IP address from South Korea connecting to the speci URL paths contained in the PowerShell implants .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Other versions tried to open the file OUTLFLTR.DAT .,O O O O O O O O O
These attackers aggressively pursue and compromise chosen targets in order to steal sensitive information .,O O O O O O O O O O O O O O O
"The logged in account , as seen from the journal , is then used to check how much Convertible Currency amount (",O O O O O O O O O O O O O O O O O O O O O O
We have reason to believe CozyDuke is being used to target governmental organizations and entities that work closely with such bodies .,O O O O O B-malware.drop O O O O O O O O O O O O O O O O
This converts the native x86 instructions of the malware into another custom language chosen from one of 11 code templates .,O O O O O O O O O O O O O O O O O O O O O
"Calling on years of collective experience in positions that placed their analysts at the tip of the cyber-spear , root9B has developed a unique approach to the problem of cyber-defense .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
32 .,O O
Interestingly the backdoor will also load the legitimate file resolve functions and pass calls to it so it does n't break audio playback on the victim system .,O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"It communicates with its C2 server through HTTP over nonstandard TCP ports , and will send encoded information containing basic system information back , including hostname , username , and operating system within the content of the POST .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
The C & C console allowed attackers to live track their victims .,O O O O O O O O O O O O O
"Sofacy 's choice of targets has historically been an interesting mixture that has fueled an ongoing debate over whether the group is criminal in nature , or actually an agent of a nation-state .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"During the course of our investigation , JPCERT published this analysis of one of the group 's backdoors .",O O O O O O O O O O O O O O O O O O O
The table below lists all of Koadic 's functions : { Variable } .user User-related functions { Variable } .user.isElevated Check Privilege { Variable } .user.OS Get OS Version { Variable } .user.DC Get DCName from Registry { Variable } .user.Arch Get Architecture { Variable } .user.info Get User Information { Variable } .work Main Routine functions { Variable } .work.report Reports to server { Variable } .work.error Returns error { Variable } .work.make_url Alters/Modifies URL ( C & C ) { Variable } .work.get Get the return of POST Header { Variable } .work.fork Creates rundll32.exe process { Variable } .http HTTP Connection functions { Variable } .http.create Creates initial HTTP objects { Variable } .http.post POST header { Variable } .http.addHeaders Adds HTTP Headers { Variable } .http.get GET Header { Variable } .http.upload Uploads binaries/data { Variable } .http.bin2str String manipulation { Variable } .http.downloadEx Downloads response { Variable } .http.download Additional download function { Variable } .process Process-related functions { Variable } .process.currentPID Get Current Process ID { Variable } .process.list Enumerates Process { Variable } .process.kill Terminates Process { Variable } .registry Registry-related functions { Variable } .registry.HKCR Set HKEY_CLASSES_ROOT { Variable } .registry.HKCU Set HKEY_CURRENT_USER { Variable } .registry.HKLM Set HKEY_LOCAL_MACHINE { Variable } .registry.STRING Set String Value { Variable } .registry.BINARY Set Binary Value { Variable } .registry.DWORD Set DWORD Value { Variable } .registry.QWORD Set QWORD Value { Variable } .registry.write Write/Add Registry { Variable } .registry.provider Create Registry Handle { Variable } .registry.destroy Deletes Registry Key { Variable } .registry.read Get/Read Registry Entries { Variable } .WMI WMI-related functions { Variable } .WMI.createProcess Creates specified process { Variable } .shell File/Process Execution functions { Variable } .shell.run Run commands { Variable } .shell.exec Executes process { Variable } .file File-related functions { Variable } .file.getPath Get specified file path { Variable } .file.readText Reads specified text file { Variable } .file.get32BitFolder Get System Folder ( 32/64-bit ) { Variable } .file.writol Writes on specified file { Variable } .file.deleteFile Deletes specified file { Variable } .file.readBinary Reads specified binary file .,O O O O O O B-malware.unknown O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
It will then ensure that only one instance of the program runs at a given moment by checking for the presence of a particular mutex on the system .,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"We decided to inspect two different datasets : our incoming sample feeds / malware zoo , and the telemetry associated with our Advanced Malware Protection ( AMP ) solutions .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
File Name : INV#94586.jar File Size : 43885 bytes MD5 : 06c2760060d41533b36572ae3c1ba2df SHA1 : 0350f53a821933e05bf82508b1e458c83d37b7c8,O O O B-malware.infosteal O O O O O O O B-hash O O B-hash
"Once fully unpacked in memory , it appears to be an x86 variant of the fdsvc.dll backdoor described in our February blogpost ' Lazarus ' False Flag Malware ' .",O O O O O O O O O O O O O O O B-malware.backdoor O O O O O O O B-malware.unknown I-malware.unknown I-malware.unknown I-malware.unknown I-malware.unknown O O
Just kidding .,O O O
2009 14.07 .,O O O
"Parser : :inByte method When scrambling one byte , the scrambler first determines if the byte value is odd or even .",O O O O O O O O O O O O O O O O O O O O O O
"After the file is saved , the code deletes the temporary table .",O O O O O O O O O O O O O
Record # 0 Length : 243 bytes :,O O O O O O O O
"The malware attempts to locate the configuration and password store files for a variety browsers and chat clients as seen below : We observed the creation of the file ' t111o00000000.dat ' in the data harvesting directory , as shown in the filesystem timeline below :",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Thanks to the logs located on the MDM servers and the malware 's command and control ( C2 ) server , we were able to determine that the malware has been in use since August 2015 .",O O O O O O O B-malware.infosteal O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Other resources include :,O O O O
In July 2015 security company Cyphort reported the compromise of a news portal and a banking site – rbc.ua and unicredit.ua .,O O O O O O O O O O O O O O O O O O O O O O
"In the below screen shot the URL ( hxxp://c2xyup.com/update.exe ) is not the actual URL used by the malware for updating , this is a test URL used to determine the functionality , so this URL should not used as an indicator .",O O O O O O O O B-url.unknown O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"The fact that the Ethiopian version of FinSpy uses images of opposition members as bait suggests it may be used for politically influenced surveillance activities , rather than strictly law enforcement purposes .",O O O O O O O B-malware.backdoor O O O O O O O O O O O O O O O O O O O O O O O O O
To be continued ... Meow .,O O O O O O
"Once the data is decrypted with two RC4 rounds , the dropper checks the decrypted data contains a valid 4-byte signature : 0xBC0F1DAD .",O O O O O O O O O O O O O O O O O O O O O O O O
( and publicly available RATs such as PoisonIvy ) to maintain access to victim networks .,O O O O B-malware.backdoor O O O O O O O O O O O
"The company 's registered IP ranges sit under AS12212 with the following prefixes ranged 198.55.48.0 – 198.55.61.255 , 198.55.63.0 – 198.55.63.255 and 207.176.216.0 – 207.176.219.255 .",O O O O O O O O O O O O O O B-ip.unknown O B-ip.unknown O B-ip.unknown O B-ip.unknown O B-ip.unknown O B-ip.unknown O
We 'll then start poking around looking for routines that might implement the phone home protocol .,O O O O O O O O O O O O O O O O O
CrowdStrike identified this X-Agent variant within a legitimate Android application named 30.apk .,O O O B-malware.infosteal O O O O O O O B-malware.backdoor O
